user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
K16_2.bin.23	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale	GCF_000020605.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale	97.98	0.92	GCF_000020605.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter rectale	97.98	0.92	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900317585.1, s__Agathobacter sp900317585, 95.0, 94.78, 0.73; GCF_001405615.1, s__Agathobacter faecis, 95.0, 80.34, 0.21; GCA_002474415.1, s__Agathobacter sp002474415, 95.0, 78.45, 0.15; GCA_000434275.1, s__Agathobacter sp000434275, 95.0, 78.25, 0.15; GCF_002735305.1, s__Agathobacter ruminis, 95.0, 78.12, 0.1; GCA_900316805.1, s__Agathobacter sp900316805, 95.0, 77.2, 0.12	85.65	11	N/A	N/A
K16_2.bin.32	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__	N/A	N/A	N/A	N/A	N/A	GCF_000478885.1	95.0	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia equolifaciens	94.1	0.8	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000403355.2, s__Adlercreutzia caecimuris, 95.0, 84.41, 0.63; GCF_000422625.1, s__Adlercreutzia mucosicola, 95.0, 83.96, 0.63	92.16	11	0.9921390239345754	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
K16_2.bin.33	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp000980495	GCA_000980495.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp000980495	98.83	0.9	GCA_000980495.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__Parasutterella sp000980495	98.83	0.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Parasutterella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000205025.1, s__Parasutterella excrementihominis, 95.0, 90.63, 0.9	94.56	11	N/A	N/A
K16_2.bin.8	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	GCF_000752095.2	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	96.03	0.8	GCF_000752095.2	95.0	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__Erysipelatoclostridium sp000752095	96.03	0.8	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003024675.1, s__Erysipelatoclostridium sp003024675, 95.0, 89.48, 0.74; GCF_002160495.1, s__Erysipelatoclostridium sp002160495, 95.0, 78.76, 0.3; GCF_000154805.1, s__Erysipelatoclostridium spiroforme, 95.0, 78.6, 0.27; GCF_000508865.1, s__Erysipelatoclostridium sp000508865, 95.0, 78.52, 0.24; GCF_900102365.1, s__Erysipelatoclostridium cocleatum, 95.0, 78.23, 0.24; GCF_000686665.1, s__Erysipelatoclostridium saccharogumia, 95.0, 78.01, 0.24; GCF_000154485.1, s__Erysipelatoclostridium ramosum, 95.0, 77.95, 0.26	92.66	11	N/A	N/A
K18_2.bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	N/A	N/A	N/A	N/A	N/A	GCF_000577815.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium saudiense	85.56	0.8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	N/A	GCF_000320405.1, s__Clostridium celatum, 95.0, 82.11, 0.66; GCA_001916075.1, s__Clostridium sp001916075, 95.0, 80.26, 0.4; GCA_000435835.1, s__Clostridium sp000435835, 95.0, 79.74, 0.42; GCF_000753455.2, s__Clostridium sp000753455, 95.0, 79.64, 0.47; GCF_001405015.1, s__Clostridium disporicum, 95.0, 79.55, 0.49; GCF_002327185.1, s__Clostridium chauvoei, 95.0, 78.5, 0.35; GCF_900092375.1, s__Clostridium septicum, 95.0, 78.32, 0.38; GCF_900217175.1, s__Clostridium tertium, 95.0, 78.28, 0.41; GCF_900086595.1, s__Clostridium nigeriense, 95.0, 78.24, 0.39; GCF_000401215.1, s__Clostridium sartagoforme, 95.0, 78.17, 0.36; GCF_900447045.1, s__Clostridium paraputrificum, 95.0, 77.85, 0.32; GCF_900116755.1, s__Clostridium sp900116755, 95.0, 77.8, 0.27; GCF_001735765.2, s__Clostridium taeniosporum, 95.0, 77.74, 0.32; GCF_002050515.1, s__Clostridium thermobutyricum, 95.0, 77.68, 0.31; GCF_000498355.1, s__Clostridium sp000498355, 95.0, 77.65, 0.34; GCF_000789395.1, s__Clostridium baratii, 95.0, 77.65, 0.31; GCF_900104115.1, s__Clostridium gasigenes, 95.0, 77.61, 0.31; GCF_900112485.1, s__Clostridium uliginosum, 95.0, 77.58, 0.27; GCA_900317445.1, s__Clostridium sp900317445, 95.0, 77.54, 0.24; GCF_000473995.1, s__Clostridium saccharobutylicum, 95.0, 77.54, 0.3; GCF_001458595.1, s__Clostridium neonatale, 95.0, 77.54, 0.31; GCF_000409755.1, s__Clostridium butyricum, 95.0, 77.5, 0.31; GCA_003129525.1, s__Clostridium beijerinckii_D, 95.0, 77.49, 0.26; GCF_000020165.1, s__Clostridium botulinum_B, 95.0, 77.48, 0.3; GCF_000827935.1, s__Clostridium botulinum_A, 95.0, 77.44, 0.32; GCF_002029255.1, s__Clostridium chromiireducens, 95.0, 77.36, 0.24; GCF_002760435.1, s__Clostridium sp002760435, 95.0, 77.2, 0.23; GCA_003539755.1, s__Clostridium sp003539755, 95.0, 77.17, 0.21; GCF_002006445.1, s__Clostridium beijerinckii, 95.0, 77.07, 0.28; GCF_002006345.1, s__Clostridium puniceum, 95.0, 77.05, 0.31; GCF_000340885.1, s__Clostridium saccharoperbutylacetonicum, 95.0, 76.98, 0.28; GCF_000230835.1, s__Clostridium sp000230835, 95.0, 76.94, 0.27; GCF_000621745.1, s__Clostridium beijerinckii_A, 95.0, 76.93, 0.28; GCF_002995745.1, s__Clostridium vincentii, 95.0, 76.91, 0.2	88.41	11	0.9850724111168682	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
K1_2.bin.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica	GCF_000144405.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica	96.75	0.86	GCF_000144405.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella melaninogenica	96.75	0.86	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001683355.1, s__Prevotella scopos, 95.0, 88.21, 0.78; GCF_000467895.1, s__Prevotella sp000467895, 95.0, 87.84, 0.72; GCF_900187995.1, s__Prevotella jejuni, 95.0, 86.64, 0.77; GCF_001262015.1, s__Prevotella fusca, 95.0, 82.91, 0.67; GCF_000758925.1, s__Prevotella sp000758925, 95.0, 82.83, 0.05; GCF_000599605.1, s__Prevotella sp000599605, 95.0, 81.04, 0.08; GCF_000257925.1, s__Prevotella sp000257925, 95.0, 80.87, 0.4; GCF_000377625.1, s__Prevotella veroralis, 95.0, 80.53, 0.4; GCF_000613925.1, s__Prevotella histicola, 95.0, 80.27, 0.4; GCF_000426585.1, s__Prevotella baroniae, 95.0, 79.91, 0.05; GCF_000185145.2, s__Prevotella oralis, 95.0, 79.91, 0.06; GCF_000220255.1, s__Prevotella pallens, 95.0, 79.78, 0.13; GCA_003096815.1, s__Prevotella colorans, 95.0, 79.67, 0.05; GCF_000613405.1, s__Prevotella enoeca, 95.0, 79.55, 0.06; GCF_000185845.1, s__Prevotella salivae, 95.0, 79.53, 0.09; GCF_000613585.1, s__Prevotella denticola, 95.0, 79.49, 0.31; GCF_000613785.1, s__Prevotella oulorum, 95.0, 79.46, 0.08; GCF_003043945.1, s__Prevotella sp003043945, 95.0, 79.44, 0.07; GCF_000177075.1, s__Prevotella buccalis, 95.0, 79.43, 0.08; GCF_001552765.1, s__Prevotella sp001552765, 95.0, 79.42, 0.06; GCF_000455445.1, s__Prevotella timonensis, 95.0, 79.38, 0.07; GCF_900155655.1, s__Prevotella ihumii, 95.0, 79.36, 0.13; GCF_001553265.1, s__Prevotella sp001553265, 95.0, 79.29, 0.08; GCF_000184945.1, s__Prevotella buccae, 95.0, 79.27, 0.07; GCF_000191065.1, s__Prevotella multiformis, 95.0, 79.17, 0.27; GCF_000430525.1, s__Prevotella corporis, 95.0, 79.17, 0.12; GCF_000762405.1, s__Prevotella timonensis_A, 95.0, 78.96, 0.07; GCF_001953955.1, s__Prevotella intermedia, 95.0, 78.88, 0.14; GCF_000382385.1, s__Prevotella maculosa, 95.0, 78.86, 0.08; GCF_000378745.1, s__Prevotella amnii, 95.0, 78.82, 0.11; GCF_003043925.1, s__Prevotella sp003043925, 95.0, 78.8, 0.06; GCF_000262545.1, s__Prevotella bivia, 95.0, 78.77, 0.18; GCF_900113305.1, s__Prevotella sp900113305, 95.0, 78.77, 0.06; GCF_000613345.1, s__Prevotella disiens, 95.0, 78.62, 0.12; GCF_000614025.1, s__Prevotella aurantiaca, 95.0, 78.61, 0.14; GCF_000614065.1, s__Prevotella dentasini, 95.0, 78.56, 0.14; GCF_000688375.1, s__Prevotella sp000688375, 95.0, 78.43, 0.14; GCA_002439605.1, s__Prevotella sp002439605, 95.0, 78.31, 0.08; GCF_002224675.1, s__Prevotella copri_A, 95.0, 78.27, 0.11; GCF_000518545.1, s__Prevotella seregens, 95.0, 78.24, 0.04; GCF_000613725.1, s__Prevotella pleuritidis, 95.0, 78.21, 0.06; GCF_000479005.1, s__Prevotella sp000479005, 95.0, 78.21, 0.08; GCF_000157935.1, s__Prevotella copri, 95.0, 78.21, 0.12; GCF_002251385.1, s__Prevotella sp002251385, 95.0, 78.18, 0.06; GCF_900079775.1, s__Prevotella lascolaii, 95.0, 78.14, 0.05; GCF_000613945.1, s__Prevotella falsenii, 95.0, 78.13, 0.09; GCA_900316015.1, s__Prevotella sp900316015, 95.0, 78.12, 0.06; GCF_000613505.1, s__Prevotella oris, 95.0, 78.09, 0.1; GCF_900199655.1, s__Prevotella sp900199655, 95.0, 78.07, 0.06; GCF_000179055.1, s__Prevotella bryantii, 95.0, 77.95, 0.08; GCA_002451555.1, s__Prevotella sp002451555, 95.0, 77.91, 0.07; GCA_002440225.1, s__Prevotella sp002440225, 95.0, 77.88, 0.08; GCA_900314195.1, s__Prevotella sp900314195, 95.0, 77.84, 0.04; GCF_000614105.1, s__Prevotella micans, 95.0, 77.81, 0.06; GCF_000218235.1, s__Prevotella multisaccharivorax, 95.0, 77.76, 0.06; GCF_000160535.1, s__Prevotella bergensis, 95.0, 77.66, 0.06; GCA_900315635.1, s__Prevotella sp900315635, 95.0, 77.65, 0.08; GCF_000426565.1, s__Prevotella albensis, 95.0, 77.63, 0.12; GCA_900313215.1, s__Prevotella sp900313215, 95.0, 77.57, 0.1; GCA_000436915.1, s__Prevotella sp000436915, 95.0, 77.52, 0.09; GCF_000373185.1, s__Prevotella paludivivens, 95.0, 77.5, 0.08; GCF_002251365.1, s__Prevotella sp002251365, 95.0, 77.5, 0.06; GCA_900314945.1, s__Prevotella sp900314945, 95.0, 77.49, 0.06; GCF_000220235.1, s__Prevotella nigrescens, 95.0, 77.34, 0.11; GCA_000431975.1, s__Prevotella sp000431975, 95.0, 77.31, 0.06; GCA_000434515.1, s__Prevotella sp000434515, 95.0, 77.27, 0.09; GCA_002481295.1, s__Prevotella sp002481295, 95.0, 77.21, 0.05; GCA_002317385.1, s__Prevotella sp002317385, 95.0, 77.19, 0.05; GCF_000424185.1, s__Prevotella sp000424185, 95.0, 77.19, 0.06; GCA_900319905.1, s__Prevotella sp900319905, 95.0, 77.17, 0.06; GCA_900317685.1, s__Prevotella sp900317685, 95.0, 77.07, 0.05; GCA_002479145.1, s__Prevotella sp002479145, 95.0, 77.04, 0.05; GCA_900315835.1, s__Prevotella sp900315835, 95.0, 77.02, 0.04; GCA_003483565.1, s__Prevotella sp003483565, 95.0, 77.01, 0.06; GCA_000435635.1, s__Prevotella sp000435635, 95.0, 77.0, 0.05; GCA_900316565.1, s__Prevotella sp900316565, 95.0, 77.0, 0.08; GCA_002297965.1, s__Prevotella sp002297965, 95.0, 76.99, 0.08; GCA_002407775.1, s__Prevotella sp002407775, 95.0, 76.99, 0.06; GCA_002409785.1, s__Prevotella sp002409785, 95.0, 76.95, 0.05; GCA_002391185.1, s__Prevotella sp002391185, 95.0, 76.94, 0.07; GCA_003447235.1, s__Prevotella sp003447235, 95.0, 76.94, 0.04; GCA_002350355.1, s__Prevotella sp002350355, 95.0, 76.92, 0.05; GCA_000436035.1, s__Prevotella sp000436035, 95.0, 76.91, 0.08; GCA_900315955.1, s__Prevotella sp900315955, 95.0, 76.87, 0.05; GCA_900322035.1, s__Prevotella sp900322035, 95.0, 76.84, 0.05; GCA_002353825.1, s__Prevotella sp002353825, 95.0, 76.82, 0.06; GCA_002437565.1, s__Prevotella sp002437565, 95.0, 76.77, 0.04; GCA_002305235.1, s__Prevotella sp002305235, 95.0, 76.69, 0.04; GCA_900314455.1, s__Prevotella sp900314455, 95.0, 76.48, 0.07; GCA_002405875.1, s__Prevotella sp002405875, 95.0, 76.45, 0.05; GCA_002299635.1, s__Prevotella sp002299635, 95.0, 76.42, 0.06; GCA_900314365.1, s__Prevotella sp900314365, 95.0, 76.36, 0.03; GCA_900318855.1, s__Prevotella sp900318855, 95.0, 76.34, 0.04; GCA_002300055.1, s__Prevotella sp002300055, 95.0, 76.17, 0.05; GCA_900322095.1, s__Prevotella sp900322095, 95.0, 76.08, 0.04; GCA_002437285.1, s__Prevotella sp002437285, 95.0, 76.07, 0.03; GCA_900317545.1, s__Prevotella sp900317545, 95.0, 75.92, 0.03; GCA_002437115.1, s__Prevotella sp002437115, 95.0, 75.91, 0.03; GCA_002480935.1, s__Prevotella sp002480935, 95.0, 75.53, 0.03	95.93	11	N/A	N/A
K1_2.bin.15	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	GCF_001553335.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	95.92	0.91	GCF_001553335.1	95.0	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	95.92	0.91	d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000024945.1, s__Veillonella parvula, 95.0, 95.46, 0.92; GCF_002959775.1, s__Veillonella rogosae, 95.0, 86.95, 0.86; GCF_002959895.1, s__Veillonella infantium, 95.0, 86.58, 0.85; GCF_002959755.1, s__Veillonella sp002959755, 95.0, 86.51, 0.85; GCF_001553315.1, s__Veillonella dispar_A, 95.0, 86.49, 0.82; GCF_000160015.1, s__Veillonella dispar, 95.0, 86.48, 0.86; GCF_002959915.1, s__Veillonella atypica, 95.0, 82.37, 0.57; GCF_001078375.1, s__Veillonella tobetsuensis, 95.0, 82.23, 0.62; GCF_900187285.1, s__Veillonella rodentium, 95.32, 81.13, 0.56; GCF_002959855.1, s__Veillonella denticariosi, 95.32, 80.98, 0.61; GCF_000426745.1, s__Veillonella montpellierensis, 95.0, 77.31, 0.12	50.54	11	N/A	N/A
K1_2.bin.6	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava_B	GCF_003044935.1	95.57	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria subflava_B	95.68	0.87	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_003044935.1, s__Neisseria subflava_B, 95.57, 95.68, 0.87; GCF_002847985.1, s__Neisseria perflava, 95.57, 95.44, 0.88; GCF_003045025.1, s__Neisseria subflava_A, 95.16, 95.11, 0.86; GCF_000186165.1, s__Neisseria sp000186165, 95.0, 94.67, 0.87; GCF_000175275.1, s__Neisseria flavescens, 95.0, 94.5, 0.84; GCA_900454015.1, s__Neisseria meningitidis_A, 95.0, 94.02, 0.84; GCF_000173895.1, s__Neisseria cinerea, 95.0, 84.83, 0.52; GCF_000813705.1, s__Neisseria cerebrosa, 96.54, 84.23, 0.62; GCF_003044455.1, s__Neisseria bergeri, 95.0, 84.21, 0.57; GCF_002863285.1, s__Neisseria sicca_D, 95.23, 84.19, 0.64; GCF_003044425.1, s__Neisseria sicca_C, 95.75, 84.15, 0.65; GCF_003044445.1, s__Neisseria mucosa_A, 95.0, 84.1, 0.63; GCF_003028315.1, s__Neisseria mucosa, 96.54, 84.08, 0.63; GCF_000193735.1, s__Neisseria sicca_E, 95.0, 84.02, 0.63; GCF_000009105.1, s__Neisseria meningitidis_B, 95.06, 83.99, 0.54; GCF_000227275.1, s__Neisseria sp000227275, 96.3, 83.94, 0.69; GCF_000193795.1, s__Neisseria lactamica_A, 95.0, 83.9, 0.55; GCF_000176735.1, s__Neisseria polysaccharea, 95.0, 83.9, 0.55; GCF_000220865.1, s__Neisseria macacae, 96.57, 83.9, 0.68; GCF_000174655.1, s__Neisseria sicca, 96.57, 83.89, 0.68; GCF_003044565.1, s__Neisseria sicca_A, 95.0, 83.86, 0.68; GCF_001815675.1, s__Neisseria sp001815675, 96.45, 83.83, 0.69; GCF_001809325.1, s__Neisseria sp001809325, 95.35, 83.78, 0.68; GCF_000260655.1, s__Neisseria sicca_B, 96.53, 83.72, 0.65; GCF_000695405.1, s__Neisseria gonorrhoeae, 95.06, 83.64, 0.51; GCF_000741965.1, s__Neisseria lactamica, 95.0, 83.42, 0.53; GCF_000090875.1, s__Neisseria sp000090875, 95.0, 82.92, 0.62	67.22	11	N/A	N/A
K1_2.bin.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003252725.1, s__Haemophilus_D parainfluenzae_L, 95.0, 94.86, 0.88; GCF_001815355.1, s__Haemophilus_D sp001815355, 95.0, 94.5, 0.86; GCF_001679485.1, s__Haemophilus_D sp001679485, 95.0, 94.3, 0.86; GCF_003252795.1, s__Haemophilus_D parainfluenzae_K, 95.0, 94.14, 0.86; GCF_000210895.1, s__Haemophilus_D parainfluenzae_A, 95.0, 93.95, 0.87; GCF_003252755.1, s__Haemophilus_D parainfluenzae_N, 95.0, 93.81, 0.87; GCF_000191405.1, s__Haemophilus_D parainfluenzae, 95.0, 93.47, 0.88; GCF_003253005.1, s__Haemophilus_D parainfluenzae_M, 95.0, 93.3, 0.84; GCF_001053035.1, s__Haemophilus_D parainfluenzae_J, 95.0, 92.84, 0.81; GCF_900186995.1, s__Haemophilus_D pittmaniae, 95.0, 82.84, 0.52	69.7	11	0.99650143792	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
K1_2.bin.8	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa	GCF_000175615.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa	95.8	0.93	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_000175615.1, s__Rothia mucilaginosa, 95.0, 95.8, 0.93; GCF_001808955.1, s__Rothia sp001808955, 95.0, 95.73, 0.96; GCF_001548235.1, s__Rothia mucilaginosa_B, 95.0, 94.89, 0.95; GCF_001061665.1, s__Rothia mucilaginosa_A, 95.0, 89.35, 0.89; GCA_002355935.1, s__Rothia aeria, 95.0, 78.98, 0.39; GCF_000164695.2, s__Rothia dentocariosa, 95.0, 78.96, 0.3; GCA_002492045.1, s__Rothia sp002492045, 95.0, 78.25, 0.2; GCA_002418375.1, s__Rothia sp002418375, 95.0, 78.01, 0.2; GCF_002087015.1, s__Rothia nasimurium, 95.0, 78.0, 0.22; GCF_001683935.1, s__Rothia sp001683935, 95.0, 77.79, 0.13; GCF_001063195.1, s__Rothia xyli, 95.0, 77.48, 0.1; GCF_000710345.2, s__Rothia sp000710345, 95.0, 77.27, 0.11; GCF_001570865.1, s__Rothia kristinae, 95.0, 77.25, 0.19	85.48	11	N/A	N/A
K20_2.bin.14	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	GCF_000701705.1	95.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	97.31	0.84	GCF_000701705.1	95.0	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	97.31	0.84	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.83	11	N/A	N/A
K20_2.bin.17	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	GCF_000153905.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	98.42	0.81	GCF_000153905.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	98.42	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 84.21, 0.68; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 83.28, 0.65; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 83.05, 0.64; GCA_000436615.1, s__Blautia_A sp000436615, 95.0, 81.9, 0.53; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 79.9, 0.34; GCA_900066205.1, s__Blautia_A sp900066205, 95.0, 79.88, 0.33; GCA_900066145.1, s__Blautia_A sp900066145, 95.0, 79.84, 0.27; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 79.81, 0.33; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 79.28, 0.32; GCA_900066335.1, s__Blautia_A sp900066335, 95.0, 79.19, 0.31; GCA_900066165.1, s__Blautia_A sp900066165, 95.0, 79.03, 0.27; GCA_900066505.1, s__Blautia_A sp900066505, 95.0, 78.75, 0.24; GCA_000433815.1, s__Blautia_A sp000433815, 95.0, 78.48, 0.31; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 77.88, 0.21; GCF_000702025.1, s__Blautia_A schinkii, 95.0, 77.83, 0.15; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 77.15, 0.08; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 77.0, 0.11	71.25	11	N/A	N/A
